                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0018,                    2.5,                  1.285,                0.60347,                0.52288,                0.55817,                0.38931,                 1.0021,                 1.7323,                 1.2419,             0.00013884,             0.00013884,             0.00013884
                      2,                 1.0465,                 1.8954,                 1.3195,                0.58505,                0.53018,                0.53673,                0.36143,                 1.0951,                  1.669,                  1.324,              0.0002595,              0.0002595,              0.0002595
                      3,                 1.0697,                 1.8068,                 1.3347,                 0.5637,                0.49278,                0.50337,                 0.3378,                 1.1323,                 1.6227,                 1.3504,             0.00036182,             0.00036182,             0.00036182
                      4,                 1.0698,                 1.7141,                 1.3309,                 0.5926,                0.53572,                0.55739,                0.37528,                 1.0845,                 1.5061,                  1.303,             0.00033443,             0.00033443,             0.00033443
                      5,                 1.0493,                 1.6153,                 1.3179,                0.61893,                 0.5056,                0.54845,                0.36869,                 1.0918,                 1.4653,                 1.3069,             0.00033443,             0.00033443,             0.00033443
                      6,                 1.0749,                 1.6039,                  1.354,                0.64033,                0.51478,                0.56024,                0.38687,                 1.0844,                 1.4374,                 1.3049,             0.00030691,             0.00030691,             0.00030691
                      7,                 1.0446,                 1.4915,                 1.3375,                0.64673,                0.54414,                0.59396,                0.41356,                 1.0547,                 1.3819,                 1.2873,             0.00027939,             0.00027939,             0.00027939
                      8,                 1.0181,                 1.3967,                 1.3043,                0.64141,                0.56408,                0.59572,                0.42292,                 1.0195,                  1.346,                 1.2611,             0.00025187,             0.00025187,             0.00025187
                      9,                0.98437,                  1.326,                  1.283,                0.65737,                 0.5727,                0.61799,                0.44178,                  1.017,                 1.3001,                  1.255,             0.00022435,             0.00022435,             0.00022435
                     10,                0.96394,                 1.2611,                  1.263,                0.66596,                0.58427,                0.62323,                0.45264,                 1.0013,                  1.258,                 1.2435,             0.00019682,             0.00019682,             0.00019682
                     11,                0.94058,                  1.208,                 1.2462,                0.70399,                0.56816,                 0.6361,                0.46238,                0.98968,                 1.2314,                 1.2308,              0.0001693,              0.0001693,              0.0001693
                     12,                0.91579,                 1.1559,                 1.2262,                0.67743,                0.59227,                0.64094,                0.47007,                0.97301,                 1.2147,                 1.2183,             0.00014178,             0.00014178,             0.00014178
                     13,                0.88995,                 1.1108,                 1.2097,                0.71173,                0.58917,                0.65686,                 0.4843,                0.95314,                 1.1718,                 1.2078,             0.00011426,             0.00011426,             0.00011426
                     14,                0.87435,                 1.0666,                 1.1944,                0.70775,                 0.5965,                0.65746,                0.48283,                 0.9528,                 1.1679,                 1.2035,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     15,                0.84824,                 1.0176,                 1.1733,                0.70863,                0.61146,                0.66995,                 0.4966,                0.93891,                  1.135,                 1.1909,             5.9214e-05,             5.9214e-05,             5.9214e-05
